feature,precision,recall,f1,category
workclass,0.65,0.25516528925619836,0.3664688427299704,Private
workclass,0.7,0.358974358974359,0.4745762711864407,?
workclass,0.7727272727272727,0.2361111111111111,0.36170212765957444,State-gov
workclass,0.6590909090909091,0.24369747899159663,0.3558282208588957,Local-gov
workclass,0.6904761904761905,0.20863309352517986,0.32044198895027626,Self-emp-not-inc
workclass,0.9387755102040817,0.38333333333333336,0.5443786982248521,Self-emp-inc
workclass,0.7647058823529411,0.17333333333333334,0.2826086956521739,Federal-gov
workclass,1.0,1.0,1.0,Never-worked
workclass,1.0,1.0,1.0,Without-pay
education,0.5531914893617021,0.22674418604651161,0.32164948453608244,HS-grad
education,0.3333333333333333,0.125,0.18181818181818182,12th
education,0.823943661971831,0.2733644859813084,0.4105263157894737,Bachelors
education,0.9354838709677419,0.3918918918918919,0.5523809523809524,Prof-school
education,0.5510204081632653,0.2151394422310757,0.30945558739255014,Some-college
education,0.4,0.6666666666666666,0.5,5th-6th
education,0.8615384615384616,0.2857142857142857,0.4291187739463602,Masters
education,0.7368421052631579,0.2692307692307692,0.39436619718309857,Assoc-acdm
education,0.0,0.0,1.0,1st-4th
education,0.625,0.4166666666666667,0.5,11th
education,0.0,0.0,1.0,9th
education,0.5,0.3333333333333333,0.4,7th-8th
education,0.52,0.203125,0.29213483146067415,Assoc-voc
education,0.4,0.10526315789473684,0.16666666666666666,10th
education,1.0,1.0,1.0,Preschool
education,0.875,0.3181818181818182,0.4666666666666667,Doctorate
marital-status,0.34408602150537637,0.32,0.3316062176165804,Never-married
marital-status,0.7843137254901961,0.2471042471042471,0.37580739870816204,Married-civ-spouse
marital-status,0.56,0.3076923076923077,0.3971631205673759,Divorced
marital-status,0.7142857142857143,0.2777777777777778,0.4,Widowed
marital-status,0.5714285714285714,0.42105263157894735,0.48484848484848486,Separated
marital-status,1.0,0.2857142857142857,0.4444444444444445,Married-spouse-absent
marital-status,1.0,0.0,0.0,Married-AF-spouse
occupation,0.5151515151515151,0.17616580310880828,0.2625482625482625,Craft-repair
occupation,0.5,0.17391304347826086,0.25806451612903225,Machine-op-inspct
occupation,0.7,0.358974358974359,0.4745762711864407,?
occupation,0.3,0.25,0.2727272727272727,Other-service
occupation,0.9333333333333333,0.2924281984334204,0.4453280318091452,Exec-managerial
occupation,0.7575757575757576,0.25252525252525254,0.3787878787878788,Sales
occupation,0.5,0.28703703703703703,0.3647058823529412,Adm-clerical
occupation,0.3888888888888889,0.3684210526315789,0.37837837837837834,Handlers-cleaners
occupation,0.7761194029850746,0.2857142857142857,0.4176706827309237,Prof-specialty
occupation,0.45454545454545453,0.29411764705882354,0.35714285714285715,Farming-fishing
occupation,0.8571428571428571,0.18181818181818182,0.30000000000000004,Protective-serv
occupation,0.3333333333333333,0.10344827586206896,0.15789473684210528,Transport-moving
occupation,0.8,0.24,0.36923076923076925,Tech-support
occupation,0.0,1.0,0.0,Priv-house-serv
relationship,0.5135135135135135,0.3114754098360656,0.3877551020408163,Not-in-family
relationship,0.15625,0.4166666666666667,0.22727272727272727,Own-child
relationship,0.7931034482758621,0.2436010591350397,0.3727211343686698,Husband
relationship,0.5263157894736842,0.2857142857142857,0.37037037037037035,Unmarried
relationship,0.7454545454545455,0.2611464968152866,0.3867924528301887,Wife
relationship,0.6666666666666666,0.5,0.5714285714285715,Other-relative
race,0.6986564299424184,0.26055833929849676,0.3795620437956204,White
race,0.6818181818181818,0.28846153846153844,0.4054054054054054,Asian-Pac-Islander
race,0.48,0.16666666666666666,0.24742268041237112,Black
race,0.6666666666666666,0.4,0.5,Amer-Indian-Eskimo
race,0.6666666666666666,0.3333333333333333,0.4444444444444444,Other
sex,0.7425968109339408,0.2515432098765432,0.37579250720461094,Male
sex,0.5111111111111111,0.2923728813559322,0.3719676549865229,Female
native-country,0.6920152091254753,0.2603719599427754,0.3783783783783784,United-States
native-country,0.3333333333333333,0.125,0.18181818181818182,India
native-country,1.0,0.2,0.33333333333333337,Mexico
native-country,1.0,0.3333333333333333,0.5,Poland
native-country,0.5,1.0,0.6666666666666666,El-Salvador
native-country,1.0,0.2,0.33333333333333337,Philippines
native-country,0.7142857142857143,0.29411764705882354,0.4166666666666667,?
native-country,1.0,1.0,1.0,Dominican-Republic
native-country,0.5,0.2,0.28571428571428575,China
native-country,0.5,0.6666666666666666,0.5714285714285715,Vietnam
native-country,1.0,0.0,0.0,Cambodia
native-country,1.0,0.1111111111111111,0.19999999999999998,England
native-country,0.75,0.42857142857142855,0.5454545454545454,Germany
native-country,1.0,0.0,0.0,Columbia
native-country,1.0,0.0,0.0,Jamaica
native-country,1.0,0.0,0.0,Portugal
native-country,1.0,0.0,0.0,Ecuador
native-country,1.0,0.0,0.0,Italy
native-country,1.0,1.0,1.0,Nicaragua
native-country,0.6666666666666666,0.6666666666666666,0.6666666666666666,Puerto-Rico
native-country,1.0,0.0,0.0,Cuba
native-country,1.0,0.3333333333333333,0.5,Taiwan
native-country,1.0,0.0,0.0,South
native-country,1.0,0.25,0.4,Japan
native-country,1.0,0.0,0.0,France
native-country,1.0,1.0,1.0,Peru
native-country,0.0,0.0,1.0,Ireland
native-country,0.0,1.0,0.0,Haiti
native-country,1.0,0.0,0.0,Yugoslavia
native-country,1.0,0.0,0.0,Guatemala
native-country,1.0,0.0,0.0,Iran
native-country,1.0,0.0,0.0,Hong
native-country,0.4,0.3333333333333333,0.3636363636363636,Canada
native-country,1.0,1.0,1.0,Greece
native-country,1.0,0.0,0.0,Trinadad&Tobago
native-country,1.0,1.0,1.0,Scotland
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
